Year,League,PlayerName,HomeRuns
1921,American League,Babe Ruth,59
1922,American League,Ken Williams,39
1923,American League,Babe Ruth,41
1924,American League,Babe Ruth,46
1925,American League,Bob Meusel,33
1926,American League,Babe Ruth,47
1927,American League,Babe Ruth,60
1928,American League,Babe Ruth,54
1929,American League,Babe Ruth,46
1930,American League,Babe Ruth,49
1931,American League,Lou Gehrig,46
1932,American League,Jimmie Foxx,58
1933,American League,Jimmie Foxx,48
1934,American League,Lou Gehrig,49
1935,American League,Jimmie Foxx,36
1936,American League,Lou Gehrig,49
1937,American League,Joe DiMaggio,46
1938,American League,Hank Greenberg,58
1939,American League,Jimmie Foxx,35
1940,American League,Hank Greenberg,41
1941,American League,Ted Williams,37
1942,American League,Ted Williams,36
1943,American League,Rudy York,34
1944,American League,Nick Etten,22
1945,American League,Vern Stephens,24
1946,American League,Hank Greenberg,44
1947,American League,Ted Williams,32
1948,American League,Joe DiMaggio,39
1949,American League,Ted Williams,43
1950,American League,Al Rosen,37
1951,American League,Gus Zernial,33
1952,American League,Larry Doby,32
1953,American League,Al Rosen,43
1954,American League,Larry Doby,32
1955,American League,Mickey Mantle,37
1956,American League,Mickey Mantle,52
1957,American League,Roy Sievers,42
1958,American League,Mickey Mantle,42
1959,American League,Rocky Colavito,42
1960,American League,Mickey Mantle,40
1961,American League,Roger Maris,61
1962,American League,Harmon Killebrew,48
1963,American League,Harmon Killebrew,45
1964,American League,Harmon Killebrew,49
1965,American League,Tony Conigliaro,32
1966,American League,Frank Robinson,49
1967,American League,Harmon Killebrew,44
1968,American League,Frank Howard,44
1969,American League,Harmon Killebrew,49
1970,American League,Frank Howard,44
1971,American League,Bill Melton,33
1972,American League,Dick Allen,37
1973,American League,Reggie Jackson,32
1974,American League,Dick Allen,32
1975,American League,Reggie Jackson,36
1976,American League,Graig Nettles,32
1977,American League,Jim Rice,39
1978,American League,Jim Rice,46
1979,American League,Gorman Thomas,45
1980,American League,Reggie Jackson,41
1981,American League,Tony Armas,22
1982,American League,Reggie Jackson,39
1983,American League,Jim Rice,39
1984,American League,Tony Armas,43
1985,American League,Darrell Evans,40
1986,American League,Jesse Barfield,40
1987,American League,Mark McGwire,49
1988,American League,Jose Canseco,42
1989,American League,Fred McGriff,36
1990,American League,Cecil Fielder,51
1991,American League,Jose Canseco,44
1992,American League,Juan Gonzalez,43
1993,American League,Juan Gonzalez,46
1994,American League,"Ken Griffey, Jr.",40
1995,American League,Albert Belle,50
1996,American League,Mark McGwire,52
1997,American League,"Ken Griffey, Jr.",56
1998,American League,"Ken Griffey, Jr.",56
1999,American League,"Ken Griffey, Jr.",48
2000,American League,Troy Glaus,47
2001,American League,Alex Rodriguez,52
2002,American League,Alex Rodriguez,57
2003,American League,Alex Rodriguez,47
2004,American League,Manny Ramirez,43
2005,American League,Alex Rodriguez,48
2006,American League,David Ortiz,54
2007,American League,Alex Rodriguez,54
2008,American League,Miguel Cabrera,37
2009,American League,Carlos Pena,39
2010,American League,Jose Bautista,54
2011,American League,Jose Bautista,43
2012,American League,Miguel Cabrera,44
2013,American League,Chris Davis,53
2014,American League,Nelson Cruz,40
2015,American League,Chris Davis,47
2016,American League,Mark Trumbo,47
2017,American League,Aaron Judge,52
2018,American League,Khris Davis,48
2019,American League,Jorge Soler,48
1921,National League,High Pockets Kelly,23
1922,National League,Rogers Hornsby,42
1923,National League,Cy Williams,41
1924,National League,Jack Fournier,27
1925,National League,Rogers Hornsby,39
1926,National League,Hack Wilson,21
1927,National League,Cy Williams,30
1928,National League,Jim Bottomley,31
1929,National League,Chuck Klein,43
1930,National League,Hack Wilson,56
1931,National League,Chuck Klein,31
1932,National League,Chuck Klein,38
1933,National League,Chuck Klein,28
1934,National League,Ripper Collins,35
1935,National League,Wally Berger,34
1936,National League,Mel Ott,33
1937,National League,Joe Medwick,31
1938,National League,Mel Ott,36
1939,National League,Johnny Mize,28
1940,National League,Johnny Mize,43
1941,National League,Dolph Camilli,34
1942,National League,Mel Ott,30
1943,National League,Bill Nicholson,29
1944,National League,Bill Nicholson,33
1945,National League,Tommy Holmes,28
1946,National League,Ralph Kiner,23
1947,National League,Ralph Kiner,51
1948,National League,Ralph Kiner,40
1949,National League,Ralph Kiner,54
1950,National League,Ralph Kiner,47
1951,National League,Ralph Kiner,42
1952,National League,Ralph Kiner,37
1953,National League,Eddie Mathews,47
1954,National League,Ted Kluszewski,49
1955,National League,Willie Mays,51
1956,National League,Duke Snider,43
1957,National League,Hank Aaron,44
1958,National League,Ernie Banks,47
1959,National League,Eddie Mathews,46
1960,National League,Ernie Banks,41
1961,National League,Orlando Cepeda,46
1962,National League,Willie Mays,49
1963,National League,Hank Aaron,44
1964,National League,Willie Mays,47
1965,National League,Willie Mays,52
1966,National League,Hank Aaron,44
1967,National League,Hank Aaron,39
1968,National League,Willie McCovey,36
1969,National League,Willie McCovey,45
1970,National League,Johnny Bench,45
1971,National League,Willie Stargell,48
1972,National League,Johnny Bench,40
1973,National League,Willie Stargell,44
1974,National League,Mike Schmidt,36
1975,National League,Mike Schmidt,38
1976,National League,Mike Schmidt,38
1977,National League,George Foster,52
1978,National League,George Foster,40
1979,National League,Dave Kingman,48
1980,National League,Mike Schmidt,48
1981,National League,Mike Schmidt,31
1982,National League,Dave Kingman,37
1983,National League,Mike Schmidt,40
1984,National League,Dale Murphy,36
1985,National League,Dale Murphy,37
1986,National League,Mike Schmidt,37
1987,National League,Andre Dawson,49
1988,National League,Darryl Strawberry,39
1989,National League,Kevin Mitchell,47
1990,National League,Ryne Sandberg,40
1991,National League,Howard Johnson,38
1992,National League,Fred McGriff,35
1993,National League,Barry Bonds,46
1994,National League,Matt Williams,43
1995,National League,Dante Bichette,40
1996,National League,Andres Galarraga,47
1997,National League,Larry Walker,49
1998,National League,Mark McGwire,70
1999,National League,Mark McGwire,65
2000,National League,Sammy Sosa,50
2001,National League,Barry Bonds,73
2002,National League,Sammy Sosa,49
2003,National League,Jim Thome,47
2004,National League,Adrian Beltre,48
2005,National League,Andruw Jones,51
2006,National League,Ryan Howard,58
2007,National League,Prince Fielder,50
2008,National League,Ryan Howard,48
2009,National League,Albert Pujols,47
2010,National League,Albert Pujols,42
2011,National League,Matt Kemp,39
2012,National League,Ryan Braun,41
2013,National League,Pedro Alvarez,36
2014,National League,Giancarlo Stanton,37
2015,National League,Nolan Arenado,42
2016,National League,Nolan Arenado,41
2017,National League,Giancarlo Stanton,59
2018,National League,Nolan Arenado,38
2019,National League,Pete Alonso,53